dataset,graph,solver,num_nodes,num_edges,total_time_ms,solve_time_ms,transformation_time_ms,mwu_iterations,avg_oracle_time_ms,mendel_total_ms,mendel_avg_ms,oblivious_ratio,demand_model,offline_opt,achieved_congestion,ratio_pct,status
Backbone,BICS.lgf,racke_ckr_pointer,33,96,32,0,16,24,0,NaN,NaN,13.0436,uniform,1.57934e+06,5.78835e+06,366.503,OK
Backbone,BICS.lgf,racke_ckr_pointer,33,96,32,0,16,24,0,NaN,NaN,13.0436,bimodal,170710,741050,434.099,OK
Backbone,BICS.lgf,racke_ckr_pointer,33,96,32,0,16,24,0,NaN,NaN,13.0436,gravity,1.91676,371.311,19371.8,OK
Backbone,BICS.lgf,racke_random_mst_pointer,33,96,30,0,19,23,0,NaN,NaN,2.82458,gaussian,1.57837e+06,6.54572e+06,414.714,OK
Backbone,BICS.lgf,racke_random_mst_pointer,33,96,30,0,19,23,0,NaN,NaN,2.82458,uniform,1.57934e+06,5.64964e+06,357.721,OK
Backbone,BICS.lgf,racke_random_mst_pointer,33,96,30,0,19,23,0,NaN,NaN,2.82458,bimodal,170710,664748,389.402,OK
Backbone,BICS.lgf,racke_random_mst_pointer,33,96,30,0,19,23,0,NaN,NaN,2.82458,gravity,1.91676,277.631,14484.4,OK
Backbone,BICS.lgf,racke_frt_mendel_pointer,33,96,29439,26598,0,2925,9.05709,15021,5.13538,250.114,gaussian,1.57837e+06,1.33173e+07,843.736,OK
Backbone,BICS.lgf,racke_frt_mendel_pointer,33,96,29439,26598,0,2925,9.05709,15021,5.13538,250.114,uniform,1.57934e+06,1.17474e+07,743.812,OK
Backbone,BICS.lgf,racke_frt_mendel_pointer,33,96,29439,26598,0,2925,9.05709,15021,5.13538,250.114,bimodal,170710,1.23044e+06,720.776,OK
Backbone,BICS.lgf,racke_frt_mendel_pointer,33,96,29439,26598,0,2925,9.05709,15021,5.13538,250.114,gravity,1.91676,1165.69,60815.8,OK
Backbone,BICS.lgf,racke_ckr_mendel_pointer,33,96,17739,15392,2,2195,6.96902,7750,3.53075,254.909,gaussian,1.57837e+06,1.31703e+07,834.427,OK
Backbone,BICS.lgf,racke_ckr_mendel_pointer,33,96,17739,15392,2,2195,6.96902,7750,3.53075,254.909,uniform,1.57934e+06,1.17988e+07,747.071,OK
