dataset,graph,solver,num_nodes,num_edges,total_time_ms,solve_time_ms,transformation_time_ms,mwu_iterations,avg_oracle_time_ms,mendel_total_ms,mendel_avg_ms,oblivious_ratio,demand_model,offline_opt,achieved_congestion,ratio_pct,status
Backbone,germany50.lgf,raecke_random_mst,50,176,184,0,159,39,0,NaN,NaN,6.82025,uniform,10096.7,145232,1438.41,OK
Backbone,germany50.lgf,raecke_random_mst,50,176,184,0,159,39,0,NaN,NaN,6.82025,bimodal,1490.41,15647.7,1049.89,OK
Backbone,germany50.lgf,raecke_random_mst,50,176,184,0,159,39,0,NaN,NaN,6.82025,gaussian,11345.6,166916,1471.19,OK
Backbone,germany50.lgf,raecke_random_mst,50,176,184,0,159,39,0,NaN,NaN,6.82025,gravity,1.95648,33.6595,1720.41,OK
Backbone,germany50.lgf,raecke_frt_mendel,50,176,353,120,140,99,1.08081,0,0,5.16534,uniform,10096.7,114187,1130.93,OK
Backbone,germany50.lgf,raecke_frt_mendel,50,176,353,120,140,99,1.08081,0,0,5.16534,bimodal,1490.41,12016.3,806.241,OK
Backbone,germany50.lgf,raecke_frt_mendel,50,176,353,120,140,99,1.08081,0,0,5.16534,gaussian,11345.6,132664,1169.3,OK
Backbone,germany50.lgf,raecke_frt_mendel,50,176,353,120,140,99,1.08081,0,0,5.16534,gravity,1.95648,25.9598,1326.86,OK
Backbone,germany50.lgf,raecke_ckr_mendel,50,176,317,69,139,103,0.582524,0,0,5.74627,uniform,10096.7,123138,1219.59,OK
Backbone,germany50.lgf,raecke_ckr_mendel,50,176,317,69,139,103,0.582524,0,0,5.74627,bimodal,1490.41,12097.1,811.657,OK
Backbone,germany50.lgf,raecke_ckr_mendel,50,176,317,69,139,103,0.582524,0,0,5.74627,gaussian,11345.6,143229,1262.42,OK
Backbone,germany50.lgf,raecke_ckr_mendel,50,176,317,69,139,103,0.582524,0,0,5.74627,gravity,1.95648,28.2396,1443.39,OK
