dataset,graph,solver,demand,num_edges,total_time_ms,solve_time_ms,transformation_time_ms,mwu_iterations,avg_oracle_time_ms,achieved_congestion,offline_opt_value,status
real_data_12x,real_data_12x/Backbone/BBNPlanet_modified.lgf,ckr,uniform,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SEGFAULT
real_data_12x,real_data_12x/Backbone/BBNPlanet_modified.lgf,ckr,bimodal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SEGFAULT
real_data_12x,real_data_12x/Backbone/BBNPlanet_modified.lgf,cohen,gravity,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
real_data_12x,real_data_12x/Backbone/BBNPlanet_modified.lgf,cohen,gaussian,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
real_data_12x,real_data_12x/Backbone/BBNPlanet_modified.lgf,cohen,uniform,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
real_data_12x,real_data_12x/Backbone/BBNPlanet_modified.lgf,cohen,bimodal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
real_data_12x,real_data_12x/Backbone/BICS_modified.lgf,electrical,gravity,1574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
real_data_12x,real_data_12x/Backbone/BICS_modified.lgf,electrical,gaussian,1574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
real_data_12x,real_data_12x/Backbone/BICS_modified.lgf,electrical,uniform,1574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
real_data_12x,real_data_12x/Backbone/BICS_modified.lgf,electrical,bimodal,1574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
real_data_12x,real_data_12x/Backbone/BICS_modified.lgf,frt,gravity,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
real_data_12x,real_data_12x/Backbone/BICS_modified.lgf,frt,gaussian,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
real_data_12x,real_data_12x/Backbone/BICS_modified.lgf,frt,uniform,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
real_data_12x,real_data_12x/Backbone/BICS_modified.lgf,frt,bimodal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
real_data_12x,real_data_12x/Backbone/BICS_modified.lgf,ckr,gravity,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SEGFAULT
real_data_12x,real_data_12x/Backbone/BICS_modified.lgf,ckr,gaussian,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
real_data_12x,real_data_12x/Backbone/BICS_modified.lgf,ckr,uniform,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SEGFAULT
real_data_12x,real_data_12x/Backbone/BICS_modified.lgf,ckr,bimodal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SEGFAULT
real_data_12x,real_data_12x/Backbone/BICS_modified.lgf,cohen,gravity,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
real_data_12x,real_data_12x/Backbone/BICS_modified.lgf,cohen,gaussian,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
