dataset,graph,solver,demand,num_edges,total_time_ms,solve_time_ms,transformation_time_ms,mwu_iterations,avg_oracle_time_ms,achieved_congestion,offline_opt_value,status
Backbone,Backbone/BellCanada.lgf,lp,bimodal,128,895366,NaN,NaN,NaN,NaN,6578.23,1458.18,OK
Backbone,Backbone/BellSouth.lgf,electrical,bimodal,132,66,64,2,11,5.09091,20121.6,1583.27,OK
Backbone,Backbone/BellSouth.lgf,ckr,bimodal,132,4150,39,4111,48,0.0208333,2211.79,1981.91,OK
Backbone,Backbone/BellSouth.lgf,frt,bimodal,132,189102,188299,803,16,11768.1,2636.44,1642.24,OK
Backbone,Backbone/BellSouth.lgf,random_mst,bimodal,132,2819,19,2800,54,0,2861.71,1934.47,OK
Backbone,Backbone/BellSouth.lgf,lp,bimodal,132,741455,NaN,NaN,NaN,NaN,6200.68,1713.28,OK
Backbone,Backbone/Bestel.lgf,electrical,bimodal,186,166,162,4,12,12.9167,84414.5,2856.31,OK
Backbone,Backbone/Bestel.lgf,ckr,bimodal,186,54588,76,54512,51,1.07843,45367.3,2501.83,OK
Backbone,Backbone/Bestel.lgf,frt,bimodal,186,NaN,NaN,15297,21,248774,38945.8,1437.12,OK
Backbone,Backbone/Bestel.lgf,random_mst,bimodal,186,17319,6,17313,19,0,35856.4,3115.9,OK
Backbone,Backbone/Bestel.lgf,lp,bimodal,186,NaN,NaN,NaN,NaN,NaN,32381.7,2718.01,OK
Backbone,Backbone/BtEurope.lgf,electrical,bimodal,74,17,16,1,11,1,2239.68,750.514,OK
Backbone,Backbone/BtEurope.lgf,ckr,bimodal,74,297,8,289,27,0,895.227,715.225,OK
Backbone,Backbone/BtEurope.lgf,frt,bimodal,74,5876,5765,111,15,383.8,616.124,391.715,OK
Backbone,Backbone/BtEurope.lgf,lp,bimodal,74,23706,NaN,NaN,NaN,NaN,1420.2,689.02,OK
Backbone,Backbone/BtNorthAmerica.lgf,electrical,bimodal,152,55,52,3,15,3,4866.67,379.086,OK
Backbone,Backbone/BtNorthAmerica.lgf,ckr,bimodal,152,9672,32,9640,55,0,1148.86,377.486,OK
Backbone,Backbone/BtNorthAmerica.lgf,frt,bimodal,152,314276,309698,4578,38,8149.34,1106.76,676.207,OK
Backbone,Backbone/BtNorthAmerica.lgf,random_mst,bimodal,152,25693,15,25678,72,0,1777.04,851.24,OK
Backbone,Backbone/BtNorthAmerica.lgf,lp,bimodal,152,528148,NaN,NaN,NaN,NaN,1257.92,473.136,OK
Backbone,Backbone/Carnet.lgf,electrical,bimodal,86,31,29,2,9,3,439.481,255.133,OK
Backbone,Backbone/Carnet.lgf,ckr,bimodal,86,343,16,327,27,0,222.424,137.961,OK
Backbone,Backbone/Carnet.lgf,frt,bimodal,86,29402,29329,73,12,2443.67,235.808,172.773,OK
Backbone,Backbone/Carnet.lgf,random_mst,bimodal,86,153,2,151,12,0,219.874,155.364,OK
Backbone,Backbone/Carnet.lgf,lp,bimodal,86,51423,NaN,NaN,NaN,NaN,227.899,194.826,OK
Backbone,Backbone/ChinaTelecom.lgf,electrical,bimodal,132,51,49,2,13,3,11623.9,1822.49,OK
Backbone,Backbone/ChinaTelecom.lgf,ckr,bimodal,132,10334,56,10278,82,0,2944.94,1833.13,OK
Backbone,Backbone/ChinaTelecom.lgf,frt,bimodal,132,290294,287848,2446,35,8223.63,3543.48,2426.1,OK
