dataset,graph,solver,demand,num_edges,total_time_ms,solve_time_ms,transformation_time_ms,mwu_iterations,avg_oracle_time_ms,achieved_congestion,offline_opt_value,status
yates,Aarnet.lgf,lp,gaussian,86,NaN,NaN,NaN,NaN,NaN,136878,17065.8,OK
yates,Aarnet.lgf,lp,uniform,86,NaN,NaN,NaN,NaN,NaN,105437,12134,OK
yates,Aarnet.lgf,lp,bimodal,86,NaN,NaN,NaN,NaN,NaN,12928.4,2588.72,OK
yates,Abvt.lgf,electrical,gravity,108,56,24,0,11,1.90909,34.1018,1.93793,OK
yates,Abvt.lgf,electrical,gaussian,108,78,24,0,11,2,242685,21189.3,OK
yates,Abvt.lgf,electrical,uniform,108,61,24,0,11,1.90909,196370,14967,OK
yates,Abvt.lgf,electrical,bimodal,108,54,24,0,11,2,24552.5,3068.81,OK
yates,Abvt.lgf,frt,gravity,108,203,110,65,24,4.16667,40.1078,1.93793,OK
yates,Abvt.lgf,frt,gaussian,108,206,109,65,24,4.125,280911,21139,OK
yates,Abvt.lgf,frt,uniform,108,231,110,65,24,4.125,242483,14826,OK
yates,Abvt.lgf,frt,bimodal,108,235,111,66,24,4.16667,27902.9,2759.9,OK
yates,Abvt.lgf,ckr,gravity,108,115,7,81,24,0,37.2106,1.93793,OK
yates,Abvt.lgf,ckr,gaussian,108,120,6,84,23,0,294712,19285,OK
yates,Abvt.lgf,ckr,uniform,108,164,7,100,25,0,195762,15151,OK
yates,Abvt.lgf,ckr,bimodal,108,160,7,95,23,0,20032.5,2222.92,OK
yates,Abvt.lgf,mst,gravity,108,193,4,137,24,0.0416667,38.2179,1.93793,OK
yates,Abvt.lgf,mst,gaussian,108,140,2,105,24,0,265512,19091.6,OK
yates,Abvt.lgf,mst,uniform,108,141,2,106,24,0,223817,15124,OK
yates,Abvt.lgf,mst,bimodal,108,144,2,106,24,0,25750.6,2807.79,OK
yates,Abvt.lgf,frt_mendel,gravity,108,323,80,208,75,0.76,39.1027,1.93793,OK
yates,Abvt.lgf,frt_mendel,gaussian,108,323,81,208,75,0.76,278905,20196.2,OK
yates,Abvt.lgf,frt_mendel,uniform,108,325,80,208,75,0.76,235123,15041,OK
yates,Abvt.lgf,frt_mendel,bimodal,108,332,80,215,75,0.76,24634.4,2362.92,OK
yates,Abvt.lgf,ckr_mendel,gravity,108,303,47,221,72,0,38.5303,1.93793,OK
yates,Abvt.lgf,ckr_mendel,gaussian,108,274,46,194,70,0,276287,23019.9,OK
yates,Abvt.lgf,ckr_mendel,uniform,108,291,50,205,75,0,213979,15339,OK
yates,Abvt.lgf,ckr_mendel,bimodal,108,287,49,200,74,0,24313.2,2652.46,OK
yates,Abvt.lgf,lp,gravity,108,NaN,NaN,NaN,NaN,NaN,21.2593,1.93793,OK
yates,Abvt.lgf,lp,gaussian,108,NaN,NaN,NaN,NaN,NaN,126694,19266.6,OK
yates,Abvt.lgf,lp,uniform,108,NaN,NaN,NaN,NaN,NaN,106442,14688,OK
