dataset,graph,solver,num_nodes,num_edges,total_time_ms,solve_time_ms,transformation_time_ms,mwu_iterations,avg_oracle_time_ms,mendel_total_ms,mendel_avg_ms,oblivious_ratio,demand_model,offline_opt,achieved_congestion,ratio_pct,status
SNDLib_Topologies,05_test.lgf,racke_frt_mendel_pointer,5,14,0,0,0,11,0,0,0,2.28333,gravity,1.59184,3.74048,234.979,OK
SNDLib_Topologies,05_test.lgf,racke_ckr_mendel_pointer,5,14,0,0,0,11,0,0,0,2.83333,gaussian,1545.21,4591.79,297.162,OK
SNDLib_Topologies,05_test.lgf,racke_ckr_mendel_pointer,5,14,0,0,0,11,0,0,0,2.83333,uniform,789.571,2236.19,283.216,OK
SNDLib_Topologies,05_test.lgf,racke_ckr_mendel_pointer,5,14,0,0,0,11,0,0,0,2.83333,bimodal,147.267,334.293,226.999,OK
SNDLib_Topologies,05_test.lgf,racke_ckr_mendel_pointer,5,14,0,0,0,11,0,0,0,2.83333,gravity,1.59184,4.69048,294.658,OK
SNDLib_Topologies,10_test_pcycle.lgf,raecke_frt,10,44,1,0,0,12,0,NaN,NaN,3.9197,gaussian,1670,7003.47,419.37,OK
SNDLib_Topologies,10_test_pcycle.lgf,raecke_frt,10,44,1,0,0,12,0,NaN,NaN,3.9197,uniform,1235.91,5063.42,409.692,OK
SNDLib_Topologies,10_test_pcycle.lgf,raecke_frt,10,44,1,0,0,12,0,NaN,NaN,3.9197,bimodal,184.812,672.077,363.654,OK
SNDLib_Topologies,10_test_pcycle.lgf,raecke_frt,10,44,1,0,0,12,0,NaN,NaN,3.9197,gravity,1.78926,6.66435,372.465,OK
SNDLib_Topologies,10_test_pcycle.lgf,raecke_ckr,10,44,1,0,0,13,0,NaN,NaN,3.93355,gaussian,1670,7205.65,431.477,OK
SNDLib_Topologies,10_test_pcycle.lgf,raecke_ckr,10,44,1,0,0,13,0,NaN,NaN,3.93355,uniform,1235.91,4927.48,398.693,OK
SNDLib_Topologies,10_test_pcycle.lgf,raecke_ckr,10,44,1,0,0,13,0,NaN,NaN,3.93355,bimodal,184.812,586.68,317.446,OK
SNDLib_Topologies,10_test_pcycle.lgf,raecke_ckr,10,44,1,0,0,13,0,NaN,NaN,3.93355,gravity,1.78926,7.39575,413.342,OK
SNDLib_Topologies,10_test_pcycle.lgf,raecke_random_mst,10,44,1,0,0,16,0,NaN,NaN,5.0621,gaussian,1670,11908.2,713.065,OK
SNDLib_Topologies,10_test_pcycle.lgf,raecke_random_mst,10,44,1,0,0,16,0,NaN,NaN,5.0621,uniform,1235.91,9034.51,731.001,OK
SNDLib_Topologies,10_test_pcycle.lgf,raecke_random_mst,10,44,1,0,0,16,0,NaN,NaN,5.0621,bimodal,184.812,1214.22,657.002,OK
SNDLib_Topologies,10_test_pcycle.lgf,raecke_random_mst,10,44,1,0,0,16,0,NaN,NaN,5.0621,gravity,1.78926,11.7308,655.625,OK
SNDLib_Topologies,10_test_pcycle.lgf,raecke_frt_mendel,10,44,4,0,0,28,0,0,0,2.86881,gaussian,1670,5525.24,330.853,OK
SNDLib_Topologies,10_test_pcycle.lgf,raecke_frt_mendel,10,44,4,0,0,28,0,0,0,2.86881,uniform,1235.91,4324.98,349.943,OK
SNDLib_Topologies,10_test_pcycle.lgf,raecke_frt_mendel,10,44,4,0,0,28,0,0,0,2.86881,bimodal,184.812,533.122,288.467,OK
SNDLib_Topologies,10_test_pcycle.lgf,raecke_frt_mendel,10,44,4,0,0,28,0,0,0,2.86881,gravity,1.78926,6.11808,341.934,OK
SNDLib_Topologies,10_test_pcycle.lgf,raecke_ckr_mendel,10,44,3,0,0,29,0,0,0,3.19325,gaussian,1670,5786.4,346.492,OK
SNDLib_Topologies,10_test_pcycle.lgf,raecke_ckr_mendel,10,44,3,0,0,29,0,0,0,3.19325,uniform,1235.91,4385.6,354.848,OK
SNDLib_Topologies,10_test_pcycle.lgf,raecke_ckr_mendel,10,44,3,0,0,29,0,0,0,3.19325,bimodal,184.812,572.55,309.801,OK
SNDLib_Topologies,10_test_pcycle.lgf,raecke_ckr_mendel,10,44,3,0,0,29,0,0,0,3.19325,gravity,1.78926,6.04424,337.807,OK
SNDLib_Topologies,10_test_pcycle.lgf,racke_frt_pointer,10,44,1,0,0,12,0,NaN,NaN,4.10553,gaussian,1670,7985.04,478.147,OK
SNDLib_Topologies,10_test_pcycle.lgf,racke_frt_pointer,10,44,1,0,0,12,0,NaN,NaN,4.10553,uniform,1235.91,6082.59,492.155,OK
SNDLib_Topologies,10_test_pcycle.lgf,racke_frt_pointer,10,44,1,0,0,12,0,NaN,NaN,4.10553,bimodal,184.812,911.087,492.98,OK
SNDLib_Topologies,10_test_pcycle.lgf,racke_frt_pointer,10,44,1,0,0,12,0,NaN,NaN,4.10553,gravity,1.78926,9.03425,504.916,OK
SNDLib_Topologies,10_test_pcycle.lgf,racke_ckr_pointer,10,44,2,0,0,16,0,NaN,NaN,4.71821,gaussian,1670,10383,621.739,OK
SNDLib_Topologies,10_test_pcycle.lgf,racke_ckr_pointer,10,44,2,0,0,16,0,NaN,NaN,4.71821,uniform,1235.91,8189.35,662.617,OK
SNDLib_Topologies,10_test_pcycle.lgf,racke_ckr_pointer,10,44,2,0,0,16,0,NaN,NaN,4.71821,bimodal,184.812,1090.21,589.903,OK
SNDLib_Topologies,10_test_pcycle.lgf,racke_ckr_pointer,10,44,2,0,0,16,0,NaN,NaN,4.71821,gravity,1.78926,11.1741,624.509,OK
SNDLib_Topologies,10_test_pcycle.lgf,racke_random_mst_pointer,10,44,1,0,0,17,0,NaN,NaN,3.73203,gaussian,1670,8658.91,518.499,OK
SNDLib_Topologies,10_test_pcycle.lgf,racke_random_mst_pointer,10,44,1,0,0,17,0,NaN,NaN,3.73203,uniform,1235.91,6356.89,514.35,OK
SNDLib_Topologies,10_test_pcycle.lgf,racke_random_mst_pointer,10,44,1,0,0,17,0,NaN,NaN,3.73203,bimodal,184.812,675.129,365.306,OK
SNDLib_Topologies,10_test_pcycle.lgf,racke_random_mst_pointer,10,44,1,0,0,17,0,NaN,NaN,3.73203,gravity,1.78926,8.06831,450.931,OK
SNDLib_Topologies,10_test_pcycle.lgf,racke_frt_mendel_pointer,10,44,3,0,0,28,0,0,0,2.86881,gaussian,1670,5525.24,330.853,OK
SNDLib_Topologies,10_test_pcycle.lgf,racke_frt_mendel_pointer,10,44,3,0,0,28,0,0,0,2.86881,uniform,1235.91,4324.98,349.943,OK
SNDLib_Topologies,10_test_pcycle.lgf,racke_frt_mendel_pointer,10,44,3,0,0,28,0,0,0,2.86881,bimodal,184.812,533.122,288.467,OK
SNDLib_Topologies,10_test_pcycle.lgf,racke_frt_mendel_pointer,10,44,3,0,0,28,0,0,0,2.86881,gravity,1.78926,6.11808,341.934,OK
SNDLib_Topologies,10_test_pcycle.lgf,racke_ckr_mendel_pointer,10,44,3,0,0,28,0,0,0,3.25021,gaussian,1670,6378.42,381.942,OK
SNDLib_Topologies,10_test_pcycle.lgf,racke_ckr_mendel_pointer,10,44,3,0,0,28,0,0,0,3.25021,uniform,1235.91,4999.79,404.544,OK
SNDLib_Topologies,10_test_pcycle.lgf,racke_ckr_mendel_pointer,10,44,3,0,0,28,0,0,0,3.25021,bimodal,184.812,595,321.948,OK
SNDLib_Topologies,10_test_pcycle.lgf,racke_ckr_mendel_pointer,10,44,3,0,0,28,0,0,0,3.25021,gravity,1.78926,6.20601,346.848,OK
SNDLib_Topologies,10_test_smallnet.lgf,raecke_frt,10,44,1,0,0,12,0,NaN,NaN,3.9197,gaussian,1270.89,5800.66,456.425,OK
SNDLib_Topologies,10_test_smallnet.lgf,raecke_frt,10,44,1,0,0,12,0,NaN,NaN,3.9197,uniform,1272.36,5120.78,402.462,OK
SNDLib_Topologies,10_test_smallnet.lgf,raecke_frt,10,44,1,0,0,12,0,NaN,NaN,3.9197,bimodal,174.426,549.994,315.317,OK
SNDLib_Topologies,10_test_smallnet.lgf,raecke_frt,10,44,1,0,0,12,0,NaN,NaN,3.9197,gravity,1.78926,6.66435,372.465,OK
SNDLib_Topologies,10_test_smallnet.lgf,raecke_ckr,10,44,1,0,0,15,0,NaN,NaN,3.92433,gaussian,1270.89,5868.84,461.79,OK
SNDLib_Topologies,10_test_smallnet.lgf,raecke_ckr,10,44,1,0,0,15,0,NaN,NaN,3.92433,uniform,1272.36,6470.07,508.508,OK
SNDLib_Topologies,10_test_smallnet.lgf,raecke_ckr,10,44,1,0,0,15,0,NaN,NaN,3.92433,bimodal,174.426,579.404,332.178,OK
SNDLib_Topologies,10_test_smallnet.lgf,raecke_ckr,10,44,1,0,0,15,0,NaN,NaN,3.92433,gravity,1.78926,8.54272,477.446,OK
SNDLib_Topologies,10_test_smallnet.lgf,raecke_random_mst,10,44,1,0,0,16,0,NaN,NaN,5.0621,gaussian,1270.89,9008.26,708.814,OK
SNDLib_Topologies,10_test_smallnet.lgf,raecke_random_mst,10,44,1,0,0,16,0,NaN,NaN,5.0621,uniform,1272.36,8943.06,702.87,OK
SNDLib_Topologies,10_test_smallnet.lgf,raecke_random_mst,10,44,1,0,0,16,0,NaN,NaN,5.0621,bimodal,174.426,991.304,568.323,OK
SNDLib_Topologies,10_test_smallnet.lgf,raecke_random_mst,10,44,1,0,0,16,0,NaN,NaN,5.0621,gravity,1.78926,11.7308,655.625,OK
SNDLib_Topologies,10_test_smallnet.lgf,raecke_frt_mendel,10,44,3,0,0,28,0,0,0,2.86881,gaussian,1270.89,4813.21,378.727,OK
SNDLib_Topologies,10_test_smallnet.lgf,raecke_frt_mendel,10,44,3,0,0,28,0,0,0,2.86881,uniform,1272.36,4340.73,341.155,OK
SNDLib_Topologies,10_test_smallnet.lgf,raecke_frt_mendel,10,44,3,0,0,28,0,0,0,2.86881,bimodal,174.426,432.218,247.794,OK
SNDLib_Topologies,10_test_smallnet.lgf,raecke_frt_mendel,10,44,3,0,0,28,0,0,0,2.86881,gravity,1.78926,6.11808,341.934,OK
SNDLib_Topologies,10_test_smallnet.lgf,raecke_ckr_mendel,10,44,3,0,0,28,0,0,0,3.20234,gaussian,1270.89,5290.45,416.279,OK
SNDLib_Topologies,10_test_smallnet.lgf,raecke_ckr_mendel,10,44,3,0,0,28,0,0,0,3.20234,uniform,1272.36,5121.72,402.536,OK
SNDLib_Topologies,10_test_smallnet.lgf,raecke_ckr_mendel,10,44,3,0,0,28,0,0,0,3.20234,bimodal,174.426,522.275,299.425,OK
SNDLib_Topologies,10_test_smallnet.lgf,raecke_ckr_mendel,10,44,3,0,0,28,0,0,0,3.20234,gravity,1.78926,6.75636,377.607,OK
SNDLib_Topologies,10_test_smallnet.lgf,racke_frt_pointer,10,44,1,0,0,12,0,NaN,NaN,4.10553,gaussian,1270.89,6388.66,502.691,OK
SNDLib_Topologies,10_test_smallnet.lgf,racke_frt_pointer,10,44,1,0,0,12,0,NaN,NaN,4.10553,uniform,1272.36,5959.11,468.349,OK
SNDLib_Topologies,10_test_smallnet.lgf,racke_frt_pointer,10,44,1,0,0,12,0,NaN,NaN,4.10553,bimodal,174.426,723.937,415.039,OK
SNDLib_Topologies,10_test_smallnet.lgf,racke_frt_pointer,10,44,1,0,0,12,0,NaN,NaN,4.10553,gravity,1.78926,9.03425,504.916,OK
